latitude,longitude,lat-long
43.639028,-79.398082,"43.636533,-79.395854"
43.639029,-79.473425,"43.63632,-79.47307"
43.639045,-79.474736,"43.6390437,-79.4760109"
43.63906,-79.398415,"43.639052,-79.399792"
43.639073,-79.39823,"43.63811,-79.397877"
43.639101,-79.444832,"43.636731,-79.444966"
43.639218,-79.416294,"43.640075,-79.414156"
43.639246,-79.444388,"43.636731,-79.444966"
43.639261,-79.42649,"43.638426,-79.429142"
43.639286,-79.382934,"43.63951,-79.383717"
43.63931,-79.441968,"43.6393107,-79.4408141"
43.639311,-79.409625,"43.6392777,-79.4115736"
43.639346,-79.420708,"43.6366666666667,-79.4197222222222"
43.639393,-79.442619,"43.6393107,-79.4408141"
43.639493,-79.450223,"43.6397,-79.44865"
43.639525,-79.384281,"43.63951,-79.383717"
43.639586,-79.42126,"43.639444,-79.423611"
43.639613,-79.42089,"43.639444,-79.423611"
43.639637,-79.41594,"43.640885,-79.416379"
43.639643,-79.442021,"43.6372958,-79.4423237"
43.63965,-79.441929,"43.640255,-79.439223"
43.639719,-79.440412,"43.640255,-79.439223"
43.639722,-79.441707,"43.6393107,-79.4408141"
43.639722,-79.380012,"43.64191,-79.378325"
43.639766,-79.397966,"43.639052,-79.399792"
43.639865,-79.422053,"43.637981,-79.424146"
43.639955,-79.394741,"43.640114,-79.393249"
43.639955,-79.394741,"43.639832,-79.395954"
43.63999,-79.418801,"43.640885,-79.416379"
43.640007,-79.381506,"43.640132,-79.380464"
43.640043,-79.396468,"43.641705,-79.393295"
43.640047,-79.42287,"43.6394444,-79.42527777777778"
43.640063,-79.396191,"43.639052,-79.399792"
43.640063,-79.396191,"43.6428899,-79.3946346"
43.640086,-79.439802,"43.63985,-79.43703"
43.640152,-79.39728,"43.6399714,-79.39940399999999"
43.640155,-79.438084,"43.63985,-79.43703"
43.640184,-79.43692,"43.640634,-79.435841"
43.640191,-79.422198,"43.6394444,-79.42527777777778"
43.640255,-79.3951,"43.641705,-79.393295"
43.640271,-79.438804,"43.640255,-79.439223"
43.640325,-79.392587,"43.640722,-79.391051"
43.640348,-79.397685,"43.639179,-79.399595"
43.640392,-79.391663,"43.640114,-79.393249"
43.640433,-79.436586,"43.640634,-79.435841"
43.640443,-79.392513,"43.640722,-79.391051"
43.640474,-79.396724,"43.639832,-79.395954"
43.640481,-79.43823,"43.63985,-79.43703"
43.640485,-79.394249,"43.641705,-79.393295"
43.640574,-79.392253,"43.6428899,-79.3946346"
43.640596,-79.401523,"43.64134790000001,-79.4013882"
43.640608,-79.437268,"43.640634,-79.435841"
43.640785,-79.376957,"43.641952,-79.380723"
43.640789,-79.395466,"43.639832,-79.395954"
43.640843,-79.417114,"43.640885,-79.416379"
43.640875,-79.425907,"43.6394444,-79.42527777777778"
43.6409,-79.385434,"43.64283,-79.38409"
43.6409,-79.385434,"43.63951,-79.383717"
43.640923,-79.375885,"43.641646,-79.375308"
43.640958,-79.375676,"43.640978,-79.376785"
43.640993,-79.354696,"43.641675,-79.354006"
43.64102,-79.400784,"43.639179,-79.399595"
43.641028,-79.416116,"43.6417852,-79.4131148"
43.641099,-79.400469,"43.6399714,-79.39940399999999"
43.641194,-79.378284,"43.640978,-79.376785"
43.6412,-79.4344,"43.6409,-79.432837"
43.641267,-79.378061,"43.64215,-79.377"
43.641316,-79.375826,"43.64215,-79.377"
43.641321,-79.354047,"43.641675,-79.354006"
43.641339,-79.377839,"43.64191,-79.378325"
43.641364,-79.432295,"43.6409,-79.432837"
43.641364,-79.41458,"43.6417852,-79.4131148"
43.641377,-79.414395,"43.6417852,-79.4131148"
43.641379,-79.377285,"43.641952,-79.380723"
43.64145,-79.414173,"43.640075,-79.414156"
43.641471,-79.430816,"43.6424558,-79.4296346"
43.6415,-79.432737,"43.6409,-79.432837"
43.641526,-79.375252,"43.643795,-79.375413"
43.641678,-79.431831,"43.6424558,-79.4296346"
43.64169,-79.389253,"43.640722,-79.391051"
43.641692,-79.377615,"43.64215,-79.377"
43.641699,-79.37591,"43.643795,-79.375413"
43.641705,-79.37743,"43.640978,-79.376785"
43.641747,-79.447033,"43.6397,-79.44865"
43.641754,-79.375989,"43.6425636,-79.3762"
43.641786,-79.401581,"43.641389,-79.404444"
43.641868,-79.428816,"43.6430555555556,-79.4275"
43.64187,-79.41121,"43.6409957,-79.40966630000001"
43.641873,-79.411437,"43.6392777,-79.4115736"
43.641978,-79.411722,"43.6409957,-79.40966630000001"
43.642006,-79.377151,"43.6425636,-79.3762"
43.642057,-79.411232,"43.6422222,-79.41111111111111"
43.642087,-79.430074,"43.6448617,-79.42822"
43.642142,-79.410825,"43.6409957,-79.40966630000001"
43.642145,-79.403067,"43.641389,-79.404444"
43.642194,-79.374563,"43.641646,-79.375308"
43.642226,-79.402244,"43.641389,-79.404444"
43.642305,-79.374581,"43.641646,-79.375308"
43.642508,-79.381063,"43.640132,-79.380464"
43.642569,-79.387196,"43.64283,-79.38409"
43.642569,-79.387196,"43.643473,-79.390477"
43.642569,-79.387196,"43.6442,-79.38702"
43.642594,-79.380656,"43.643667,-79.380414"
43.642594,-79.380656,"43.641952,-79.380723"
43.642614,-79.447453,"43.643769,-79.447915"
43.642636,-79.375428,"43.6425636,-79.3762"
43.642733,-79.427373,"43.6424558,-79.4296346"
43.642811,-79.383074,"43.643667,-79.380414"
43.642814,-79.385365,"43.641529,-79.386741"
43.642848,-79.374059,"43.643795,-79.375413"
43.642864,-79.38313,"43.64283,-79.38409"
43.642872,-79.425858,"43.6430555555556,-79.4275"
43.642899,-79.401972,"43.64134790000001,-79.4013882"
43.642925,-79.380892,"43.6451635,-79.3831757"
43.642948,-79.37748,"43.64191,-79.378325"
43.642951,-79.408197,"43.6422222,-79.41111111111111"
43.643065,-79.425135,"43.6430555555556,-79.4275"
43.643075,-79.381761,"43.645609,-79.380386"
43.643273,-79.447652,"43.643769,-79.447915"
43.643301,-79.424748,"43.6423847,-79.4240277"
