latitude,longitude,lat-long
43.666699590075,-79.3155846030585,"43.665269,-79.319796"
43.66509,-79.32132,"43.665269,-79.319796"
43.66654,-79.31693,"43.665269,-79.319796"
43.66627,-79.31802,"43.665269,-79.319796"
43.6665611,-79.3164215,"43.665269,-79.319796"
43.66665,-79.3165,"43.665269,-79.319796"
43.6650808,-79.3192955,"43.665269,-79.319796"
43.667009,-79.3204135,"43.665269,-79.319796"
43.6663972918034,-79.316825196147,"43.665269,-79.319796"
43.66681639999999,-79.3156156,"43.665269,-79.319796"
43.66527,-79.32273,"43.665269,-79.319796"
43.6665095828238,-79.3164825439453,"43.665269,-79.319796"
43.6627803414137,-79.3163108825684,"43.665269,-79.319796"
43.6653786,-79.3198166,"43.665269,-79.319796"
43.66649,-79.31686,"43.665269,-79.319796"
43.6696641,-79.4486514,"43.67142,-79.445947"
43.670364,-79.448855,"43.67142,-79.445947"
43.6696641,-79.44877238227583,"43.67142,-79.445947"
43.66923,-79.4422,"43.67142,-79.445947"
43.666699590075,-79.3155846030585,"43.666224,-79.317693"
43.66654,-79.31693,"43.666224,-79.317693"
43.6668499,-79.31518,"43.666224,-79.317693"
43.66861,-79.31723,"43.666224,-79.317693"
43.66627,-79.31802,"43.666224,-79.317693"
43.6665611,-79.3164215,"43.666224,-79.317693"
43.66509,-79.32132,"43.666224,-79.317693"
43.66665,-79.3165,"43.666224,-79.317693"
43.6663972918034,-79.316825196147,"43.666224,-79.317693"
43.6650808,-79.3192955,"43.666224,-79.317693"
43.667009,-79.3204135,"43.666224,-79.317693"
43.66681639999999,-79.3156156,"43.666224,-79.317693"
43.66646,-79.31506,"43.666224,-79.317693"
43.6665095828238,-79.3164825439453,"43.666224,-79.317693"
43.6709060668945,-79.3162689208984,"43.666224,-79.317693"
43.66649,-79.31686,"43.666224,-79.317693"
43.6653786,-79.3198166,"43.666224,-79.317693"
43.6513729,-79.379285,"43.653236,-79.376716"
43.65163,-79.37375,"43.653236,-79.376716"
43.65337263523713,-79.37432933100068,"43.653236,-79.376716"
43.65244524304,-79.372932326803,"43.653236,-79.376716"
43.6531872633836,-79.3747868765724,"43.653236,-79.376716"
43.656321731393,-79.377499580039,"43.653236,-79.376716"
43.652457948594,-79.372548881465,"43.653236,-79.376716"
43.65574,-79.37896,"43.653236,-79.376716"
43.6511564283768,-79.3789627552706,"43.653236,-79.376716"
43.6508,-79.3756,"43.653236,-79.376716"
43.6505,-79.37657,"43.653236,-79.376716"
43.6515,-79.37482,"43.653236,-79.376716"
43.6510568545686,-79.379271238786,"43.653236,-79.376716"
43.6512075713649,-79.3754209277222,"43.653236,-79.376716"
43.65032,-79.37596,"43.653236,-79.376716"
43.652139,-79.377507,"43.653236,-79.376716"
43.650977509378,-79.3754126895,"43.653236,-79.376716"
43.6561276,-79.3745768,"43.653236,-79.376716"
43.650916340102,-79.3787852302194,"43.653236,-79.376716"
43.65508,-79.37997,"43.653236,-79.376716"
43.65367,-79.38007,"43.653236,-79.376716"
43.6517399,-79.38026,"43.653236,-79.376716"
43.652094784779315,-79.37804176337187,"43.653236,-79.376716"
43.6550400866932,-79.375796456,"43.653236,-79.376716"
43.653501,-79.380048,"43.653236,-79.376716"
43.65138,-79.37925,"43.653236,-79.376716"
43.65551,-79.38027,"43.653236,-79.376716"
43.650159,-79.378093,"43.653236,-79.376716"
43.6543965446037,-79.3790650246736,"43.653236,-79.376716"
43.65115,-79.37929,"43.653236,-79.376716"
43.65178,-79.37272,"43.653236,-79.376716"
43.6563416,-79.3809433,"43.653236,-79.376716"
43.6563327,-79.3788469,"43.653236,-79.376716"
43.652297,-79.375534,"43.653236,-79.376716"
43.65459,-79.38049,"43.653236,-79.376716"
43.6503044,-79.3804595,"43.653236,-79.376716"
43.65168,-79.37809,"43.653236,-79.376716"
43.65122,-79.37579,"43.653236,-79.376716"
43.6533051373662,-79.3748112490738,"43.653236,-79.376716"
43.651051,-79.380849,"43.653236,-79.376716"
43.65107,-79.37933,"43.653236,-79.376716"
43.6522,-79.37806,"43.653236,-79.376716"
43.6536199,-79.37936,"43.653236,-79.376716"
43.65636,-79.37851,"43.653236,-79.376716"
43.654426341610986,-79.38071189650198,"43.653236,-79.376716"
43.65083895935288,-79.37707871230316,"43.653236,-79.376716"
43.6560741091191,-79.380174,"43.653236,-79.376716"
43.65367,-79.38007,"43.653236,-79.376716"
43.6517911812177,-79.3801985202755,"43.653236,-79.376716"
43.6500566,-79.3749499,"43.653236,-79.376716"
43.66417,-79.38006,"43.663722,-79.380288"
43.662946823805,-79.379592870241,"43.663722,-79.380288"
43.66503,-79.38082,"43.663722,-79.380288"
43.6668345,-79.3779253,"43.663722,-79.380288"
43.66397,-79.37992,"43.663722,-79.380288"
43.66526,-79.38032,"43.663722,-79.380288"
43.6653391464388,-79.3844996650524,"43.663722,-79.380288"
43.66655,-79.3809,"43.663722,-79.380288"
43.66452,-79.37718,"43.663722,-79.380288"
43.6667489584503,-79.3816431239247,"43.663722,-79.380288"
43.6649418550352,-79.3804019317031,"43.663722,-79.380288"
43.6659093206019,-79.3808230385184,"43.663722,-79.380288"
43.6613914599157,-79.38099526635763,"43.663722,-79.380288"
43.6630940440624,-79.3840069720838,"43.663722,-79.380288"
43.6614505,-79.384068,"43.663722,-79.380288"
43.6614620733212,-79.3836429192963,"43.663722,-79.380288"
43.66237,-79.38378,"43.663722,-79.380288"
43.661301,-79.378818,"43.663722,-79.380288"
43.66342,-79.38414,"43.663722,-79.380288"
43.66511,-79.38042,"43.663722,-79.380288"
43.6653417586184,-79.3809837338158,"43.663722,-79.380288"
43.66434,-79.38454,"43.663722,-79.380288"
43.6644,-79.38012,"43.663722,-79.380288"
43.66337,-79.38412,"43.663722,-79.380288"
43.6622887692154,-79.3836339335004,"43.663722,-79.380288"
43.6642,-79.38389,"43.663722,-79.380288"
43.6646112519968,-79.3801465109641,"43.663722,-79.380288"
43.6643898,-79.3803681,"43.663722,-79.380288"
43.664469851766,-79.38068029524,"43.663722,-79.380288"
43.6644707,-79.380043,"43.663722,-79.380288"
43.6651115,-79.3804169,"43.663722,-79.380288"
43.66501,-79.38039,"43.663722,-79.380288"
43.66106,-79.38272,"43.663722,-79.380288"
43.66514142692777,-79.3844225372604,"43.663722,-79.380288"
43.66162,-79.38153,"43.663722,-79.380288"
43.6653978,-79.3807835,"43.663722,-79.380288"
43.66115,-79.38159,"43.663722,-79.380288"
43.6647044094439,-79.3806558570915,"43.663722,-79.380288"
43.66421,-79.3805299,"43.663722,-79.380288"
43.6642528082569,-79.3844366446137,"43.663722,-79.380288"
43.66345,-79.38416,"43.663722,-79.380288"
43.66331,-79.38302,"43.663722,-79.380288"
43.66162,-79.38153,"43.663722,-79.380288"
43.6644627647038,-79.3802943164838,"43.663722,-79.380288"
43.6612685453425,-79.381438,"43.663722,-79.380288"
43.66203,-79.37732,"43.663722,-79.380288"
43.66548,-79.3811,"43.663722,-79.380288"
43.666640926547,-79.3760392324478,"43.663722,-79.380288"
43.66512696886883,-79.3808928,"43.663722,-79.380288"
43.66092,-79.38266,"43.663722,-79.380288"
43.655,-79.38643,"43.657763,-79.389165"
43.6552918174341,-79.3853147814892,"43.657763,-79.389165"
43.6551,-79.38524,"43.657763,-79.389165"
43.65484,-79.38517,"43.657763,-79.389165"
43.65586,-79.39347,"43.657763,-79.389165"
43.65845826670497,-79.385555,"43.657763,-79.389165"
43.6559732437016,-79.3930182046491,"43.657763,-79.389165"
43.65477,-79.3874,"43.657763,-79.389165"
43.65594,-79.393,"43.657763,-79.389165"
43.6561,-79.39234,"43.657763,-79.389165"
43.6551427,-79.3857634,"43.657763,-79.389165"
43.6546713,-79.386172,"43.657763,-79.389165"
43.65497,-79.38638,"43.657763,-79.389165"
43.65584,-79.39348,"43.657763,-79.389165"
43.65901,-79.39115,"43.657763,-79.389165"
43.65515,-79.38539,"43.657763,-79.389165"
43.6567086,-79.386173,"43.657763,-79.389165"
43.6550882011083,-79.3851792651491,"43.657763,-79.389165"
43.6588089,-79.3909892,"43.657763,-79.389165"
43.65592,-79.39315,"43.657763,-79.389165"
43.654965,-79.3866757,"43.657763,-79.389165"
43.654708,-79.3917,"43.657763,-79.389165"
43.66013,-79.38583,"43.657763,-79.389165"
43.65491,-79.38683,"43.657763,-79.389165"
43.65582,-79.39224,"43.657763,-79.389165"
43.65564,-79.3848299,"43.657763,-79.389165"
43.66018257611177,-79.38755551742875,"43.657763,-79.389165"
43.65621,-79.3932899,"43.657763,-79.389165"
43.65737,-79.38744,"43.657763,-79.389165"
43.65597,-79.39264,"43.657763,-79.389165"
43.65599,-79.39285,"43.657763,-79.389165"
43.65496,-79.3865299,"43.657763,-79.389165"
43.65594,-79.393,"43.657763,-79.389165"
43.65563,-79.3849,"43.657763,-79.389165"
43.65517,-79.38529,"43.657763,-79.389165"
43.6548119,-79.3897476,"43.657763,-79.389165"
43.6562796349288,-79.3906696121643,"43.657763,-79.389165"
43.65588,-79.39329,"43.657763,-79.389165"
43.6551,-79.38902,"43.657763,-79.389165"
43.6557260185277,-79.3922613188624,"43.657763,-79.389165"
43.6547399,-79.3872,"43.657763,-79.389165"
43.65699,-79.38486,"43.657763,-79.389165"
43.65481,-79.38975,"43.657763,-79.389165"
43.6598162518779,-79.3855910264369,"43.657763,-79.389165"
43.65554,-79.38549,"43.657763,-79.389165"
43.65501,-79.3863499,"43.657763,-79.389165"
43.65628,-79.3931099,"43.657763,-79.389165"
43.6550299,-79.3861,"43.657763,-79.389165"
43.6593533,-79.3894224,"43.657763,-79.389165"
43.65493,-79.38666,"43.657763,-79.389165"
43.65669,-79.38385,"43.656729,-79.382736"
43.6565313336776,-79.3800427473602,"43.656729,-79.382736"
43.65621790363862,-79.3831976136809,"43.656729,-79.382736"
43.65766,-79.38164,"43.656729,-79.382736"
43.655,-79.38643,"43.656729,-79.382736"
43.65734,-79.38334,"43.656729,-79.382736"
43.6558708964233,-79.382009190213,"43.656729,-79.382736"
43.6590974,-79.3820781,"43.656729,-79.382736"
43.6576,-79.38212,"43.656729,-79.382736"
43.6552918174341,-79.3853147814892,"43.656729,-79.382736"
43.65732,-79.38323,"43.656729,-79.382736"
43.65484,-79.38517,"43.656729,-79.382736"
43.6551,-79.38524,"43.656729,-79.382736"
43.65574,-79.37896,"43.656729,-79.382736"
43.65567,-79.38466,"43.656729,-79.382736"
43.657425,-79.383474,"43.656729,-79.382736"
43.6579,-79.38116,"43.656729,-79.382736"
43.65687204129381,-79.3808684,"43.656729,-79.382736"
43.65729,-79.38358,"43.656729,-79.382736"
43.65845826670497,-79.385555,"43.656729,-79.382736"
43.6551427,-79.3857634,"43.656729,-79.382736"
43.6583,-79.38197,"43.656729,-79.382736"
43.65931,-79.38256,"43.656729,-79.382736"
43.6563416,-79.3809433,"43.656729,-79.382736"
43.6578757,-79.3843752,"43.656729,-79.382736"
43.6566811,-79.3806534,"43.656729,-79.382736"
43.65515,-79.38539,"43.656729,-79.382736"
43.65571,-79.38459,"43.656729,-79.382736"
43.65855,-79.38205,"43.656729,-79.382736"
43.6550882011083,-79.3851792651491,"43.656729,-79.382736"
43.6546713,-79.386172,"43.656729,-79.382736"
43.65551,-79.38027,"43.656729,-79.382736"
43.65508,-79.37997,"43.656729,-79.382736"
43.65789,-79.3827,"43.656729,-79.382736"
43.656328,-79.3836155652636,"43.656729,-79.382736"
43.65578,-79.38444,"43.656729,-79.382736"
43.657118,-79.380853,"43.656729,-79.382736"
43.65497,-79.38638,"43.656729,-79.382736"
43.65564,-79.3848299,"43.656729,-79.382736"
43.6557137988527,-79.3841209246949,"43.656729,-79.382736"
43.65573,-79.38449,"43.656729,-79.382736"
43.6561951,-79.38240341165705,"43.656729,-79.382736"
43.6575780313391,-79.382470920682,"43.656729,-79.382736"
43.6574483915442,-79.3836816002438,"43.656729,-79.382736"
43.65729,-79.38358,"43.656729,-79.382736"
43.65539,-79.38425,"43.656729,-79.382736"
43.6567086,-79.386173,"43.656729,-79.382736"
43.65367,-79.38007,"43.656729,-79.382736"
43.65563,-79.3849,"43.656729,-79.382736"
43.6567473,-79.3804851,"43.656729,-79.382736"
43.66438,-79.41557,"43.664467,-79.414783"
43.66461,-79.41444,"43.664467,-79.414783"
43.665961,-79.411003,"43.664467,-79.414783"
43.66363,-79.4169299,"43.664467,-79.414783"
43.66457,-79.41304,"43.664467,-79.414783"
43.66469,-79.4140199,"43.664467,-79.414783"
43.665,-79.4132,"43.664467,-79.414783"
43.664166,-79.41517,"43.664467,-79.414783"
43.66371,-79.4165699,"43.664467,-79.414783"
43.664411943278395,-79.41512609658861,"43.664467,-79.414783"
43.665157,-79.410658,"43.664467,-79.414783"
43.66401,-79.41561,"43.664467,-79.414783"
43.66381,-79.41621,"43.664467,-79.414783"
43.6636499,-79.41686,"43.664467,-79.414783"
43.66434,-79.41566,"43.664467,-79.414783"
43.66443,-79.41375,"43.664467,-79.414783"
43.66457,-79.41292,"43.664467,-79.414783"
43.6641195,-79.4158477,"43.664467,-79.414783"
43.66541,-79.41074,"43.664467,-79.414783"
43.664,-79.41743,"43.664467,-79.414783"
43.66457,-79.41304,"43.664467,-79.414783"
