latitude,longitude,uid
43.665269,-79.319796,7303
43.67142,-79.445947,7301
43.666224,-79.317693,7309
43.653236,-79.376716,7045
43.663722,-79.380288,7044
43.657763,-79.389165,7047
43.656729,-79.382736,7041
43.664467,-79.414783,7040
43.675492,-79.388858,7128
43.674991,-79.396273,7129
43.671944,-79.387778,7126
43.662365,-79.351104,7124
43.646144,-79.377962,7048
43.663993,-79.358534,7120
43.657266,-79.374756,7121
43.6672144,-79.3452697,7346
43.673939,-79.441159,7347
43.657991,-79.340075,7342
43.66745,-79.329408,7343
43.672453,-79.338259,7340
43.6592088,-79.3348396,7341
43.689211,-79.35438,7349
43.655431,-79.380653,7269
43.656927,-79.378497,7268
43.661324,-79.449534,7265
43.658295,-79.372346,7267
43.6940155,-79.2889842,7266
43.6809164,-79.4229684,7262
43.6910667,-79.39535,7379
43.6975969,-79.39654,7378
43.639832,-79.395954,7000
43.667158,-79.402761,7003
43.667333,-79.399429,7002
43.6480008,-79.383177,7005
43.656518,-79.389099,7004
43.658148,-79.398167,7007
43.687999,-79.38906,7279
43.63796,-79.387502,7175
43.6563889,-79.45166666666667,7174
43.639179,-79.399595,7176
43.6322445,-79.4108105,7171
43.6616667,-79.40138888888889,7170
43.66666667,-79.45833333333334,7173
43.657192,-79.452559,7178
43.6576,-79.4032,7078
43.660694,-79.379052,7079
43.636533,-79.395854,7075
43.640132,-79.380464,7076
43.659777,-79.382767,7077
43.643667,-79.380414,7070
43.666233,-79.373327,7071
43.640114,-79.393249,7073
43.6366666666667,-79.4197222222222,7188
43.653766,-79.4016759,7189
43.6587734,-79.443054,7180
43.6538888888889,-79.4413888888889,7181
43.6508333333333,-79.4430555555556,7182
43.651238,-79.43868,7183
43.6544915,-79.422634,7184
43.6543604,-79.4655296,7221
43.635932,-79.465083,7220
43.654501,-79.460053,7223
43.637894,-79.454823,7222
43.634896,-79.467763,7225
43.6535269,-79.4650569,7224
43.6314,-79.4304,7227
43.636731,-79.444966,7226
43.6534268,-79.4512787,7229
43.7112153,-79.39894,7380
43.655227,-79.39201,7386
43.685167,-79.34962,7387
43.6704537,-79.39014,7384
43.6691099,-79.38551,7385
43.641389,-79.404444,7122
43.643834,-79.396649,7123
43.6545174,-79.3895315,7257
43.665846,-79.404998,7252
43.6461,-79.3895,7253
43.671349,-79.29451,7315
43.667208,-79.312315,7314
43.669328,-79.288949,7317
43.672571,-79.289,7316
43.638497,-79.39192,7259
43.662771,-79.315223,7313
43.66852,-79.363525,7312
43.652473,-79.401456,7032
43.643975,-79.419576,7035
43.651318,-79.36023,7036
43.656094,-79.381484,7038
43.670318,-79.405181,7132
43.676667,-79.416111,7137
43.640634,-79.435841,7136
43.639444,-79.423611,7148
43.67,-79.42083333333333,7149
43.671389,-79.416389,7144
43.68,-79.42500000000001,7146
43.6394444,-79.42527777777778,7147
43.675791,-79.40698,7140
43.675556,-79.410278,7141
43.674444,-79.414722,7142
43.671513,-79.408317,7143
43.6783213,-79.35822,7351
43.6848652,-79.356602,7350
43.68395,-79.347046,7353
43.690537,-79.341307,7352
43.704461,-79.423122,7355
43.659195,-79.329196,7357
43.651885,-79.3649,7356
43.682645,-79.377557,7359
43.6475,-79.43305555555555,7210
43.6494896,-79.393535,7217
43.671526,-79.44874,7326
43.6451635,-79.3831757,7320
43.6452972,-79.3827914,7321
43.6452091,-79.3960744,7323
43.6555556,-79.43361111111112,7150
43.678077,-79.390328,7328
43.645665,-79.415345,7329
43.6493472,-79.42668,7368
43.667266,-79.443946,7369
43.660207,-79.361275,7100
43.648655,-79.367061,7101
43.648711,-79.389728,7102
43.6605603,-79.3437663,7103
43.6561111,-79.36138888888888,7105
43.652219,-79.354455,7106
43.650279,-79.356832,7107
43.652686,-79.358395,7108
43.649147,-79.395504,7069
43.643795,-79.375413,7067
43.662085,-79.397735,7066
43.659575,-79.365769,7065
43.65205,-79.362198,7064
43.668456,-79.393899,7063
43.639052,-79.399792,7366
43.6448617,-79.42822,7367
43.6563888888889,-79.4091666666667,7199
43.6409,-79.432837,7198
43.6430555555556,-79.4275,7193
43.660414,-79.415646,7192
43.661975,-79.407896,7191
43.65905,-79.422988,7196
43.66,-79.4088888888889,7195
43.690564,-79.326319,7194
43.686829,-79.311073,7392
43.688325,-79.300463,7083
43.65716,-79.46478,7441
43.6525077,-79.4654233,7086
43.6772,-79.35858,7388
43.662712,-79.379903,7089
43.658938,-79.383518,7389
43.683378,-79.322961,7088
43.6425636,-79.3762,7383
43.6521,-79.4486,7247
43.669969,-79.386532,7246
43.633473,-79.425679,7244
43.630254,-79.420317,7242
43.662403,-79.423098,7240
43.656945,-79.424911,7360
43.6817346,-79.4184725,7361
43.683296,-79.418734,7362
43.673831,-79.281455,7364
43.666325,-79.3014,7365
43.651145,-79.423742,7249
43.654905,-79.398448,7248
43.651118,-79.369411,7432
43.6571,-79.4056,7023
43.650033,-79.396555,7020
43.652823,-79.393388,7027
43.665527,-79.387499,7026
43.6582,-79.3768,7028
43.671172,-79.354704,7097
43.677076,-79.35667,7095
43.680223,-79.344062,7092
43.678401,-79.346289,7093
43.681991,-79.329455,7090
43.6422222,-79.41111111111111,7158
43.663808,-79.410491,7155
43.6666667,-79.41166666666668,7154
43.6638889,-79.41888888888889,7153
43.661705,-79.425734,7152
43.6686111,-79.42027777777778,7151
43.665327,-79.43235,7296
43.657343,-79.43112,7297
43.645324,-79.40345,7298
43.650256,-79.36163,7299
43.651111111111106,-79.4213888888889,7209
43.656296,-79.414663,7208
43.649722,-79.416944,7207
