latitude,longitude,lat-long
43.641796,-79.431756,"43.6409,-79.432837"
43.641826,-79.375767,"43.643795,-79.375413"
43.641826,-79.375767,"43.6425636,-79.3762"
43.641873,-79.411437,"43.643253094827294,-79.41230469904167"
43.6419,-79.411067,"43.6409957,-79.40966630000001"
43.642063,-79.379001,"43.64215,-79.377"
43.642065,-79.377113,"43.640978,-79.376785"
43.642089,-79.378332,"43.641952,-79.380723"
43.642144,-79.390727,"43.643473,-79.390477"
43.642246,-79.374618,"43.641646,-79.375308"
43.642298,-79.374673,"43.641646,-79.375308"
43.642316,-79.352709,"43.641675,-79.354006"
43.64233,-79.389153,"43.643473,-79.390477"
43.642341,-79.383374,"43.641529,-79.386741"
43.642381,-79.352579,"43.641675,-79.354006"
43.642427,-79.430035,"43.6448617,-79.42822"
43.64248,-79.402325,"43.64333333333333,-79.40555555555557"
43.642685,-79.407219,"43.64333333333333,-79.40555555555557"
43.642734,-79.411948,"43.6422222,-79.41111111111111"
43.642848,-79.374059,"43.643795,-79.375413"
43.642848,-79.374059,"43.6425636,-79.3762"
43.642925,-79.380892,"43.64191,-79.378325"
43.64295,-79.38032,"43.641952,-79.380723"
43.643078,-79.42495,"43.6423847,-79.4240277"
43.643108,-79.40197,"43.6425791,-79.40011729999999"
43.643134,-79.391773,"43.641705,-79.393295"
43.643181,-79.42277,"43.6438602,-79.4227573"
43.64319,-79.412628,"43.6417852,-79.4131148"
43.643273,-79.447652,"43.643769,-79.447915"
43.643301,-79.424748,"43.6430555555556,-79.4275"
43.643396,-79.381204,"43.64283,-79.38409"
43.643396,-79.381204,"43.6451635,-79.3831757"
43.643408,-79.391863,"43.6428899,-79.3946346"
43.643421,-79.398643,"43.643834,-79.396649"
43.643425,-79.421734,"43.6438602,-79.4227573"
43.643485,-79.379209,"43.646144,-79.377962"
43.64355,-79.379079,"43.643667,-79.380414"
43.643632,-79.391104,"43.64407,-79.3929"
43.643719,-79.403037,"43.641389,-79.404444"
43.643763,-79.403979,"43.645324,-79.40345"
43.643864,-79.408763,"43.6409957,-79.40966630000001"
43.644034,-79.429544,"43.6424558,-79.4296346"
43.644116,-79.40067,"43.64134790000001,-79.4013882"
43.644184,-79.429802,"43.6448617,-79.42822"
43.644251,-79.44809,"43.643769,-79.447915"
43.644365,-79.383322,"43.645609,-79.380386"
43.644372,-79.418754,"43.6442457,-79.41610440000001"
43.644373,-79.399449,"43.644395,-79.40065430000001"
43.644512,-79.381289,"43.6452972,-79.3827914"
43.644528,-79.400409,"43.645102,-79.39744979999999"
43.644543,-79.367692,"43.645215,-79.364898"
43.644662,-79.417071,"43.645665,-79.415345"
43.644705,-79.386367,"43.6452972,-79.3827914"
43.644728,-79.401318,"43.644395,-79.40065430000001"
43.644742,-79.416756,"43.6442457,-79.41610440000001"
43.644818,-79.385591,"43.645859,-79.38783"
43.644868,-79.41888,"43.643975,-79.419576"
43.644953,-79.382948,"43.6458569,-79.3853654"
43.644953,-79.382948,"43.6462176,-79.3855048"
43.644975,-79.414316,"43.645665,-79.415345"
43.644979,-79.368649,"43.64422,-79.36927"
43.644979,-79.368649,"43.6451308,-79.36536439999999"
43.644993,-79.396323,"43.64407,-79.3929"
43.645015,-79.448399,"43.6467433,-79.446895"
43.645025,-79.396655,"43.645572,-79.39399"
43.645166,-79.369941,"43.64422,-79.36927"
43.645167,-79.38387,"43.64283,-79.38409"
43.645209,-79.414961,"43.643253094827294,-79.41230469904167"
43.64522,-79.400145,"43.6425791,-79.40011729999999"
43.645258,-79.400309,"43.645102,-79.39744979999999"
43.645286,-79.39693,"43.645572,-79.39399"
43.645313,-79.389596,"43.6442,-79.38702"
43.645347,-79.392219,"43.645323,-79.395003"
43.645394,-79.394653,"43.6452091,-79.3960744"
43.645602,-79.381742,"43.643667,-79.380414"
43.645691,-79.386711,"43.6442,-79.38702"
43.645803,-79.385935,"43.6451635,-79.3831757"
43.645922,-79.419603,"43.643975,-79.419576"
43.645969,-79.410436,"43.645469,-79.411084"
43.646031,-79.409063,"43.64534,-79.409597"
43.646061,-79.387799,"43.6462176,-79.3855048"
43.646141,-79.409875,"43.64534,-79.409597"
43.646159,-79.391086,"43.6461,-79.3895"
43.646288,-79.363202,"43.645215,-79.364898"
43.646312,-79.409061,"43.645469,-79.411084"
43.646373,-79.395094,"43.643834,-79.396649"
43.646548,-79.364037,"43.6451308,-79.36536439999999"
43.646572,-79.37998,"43.646162,-79.378912"
43.64661,-79.39415,"43.6452091,-79.3960744"
43.646658,-79.396588,"43.645323,-79.395003"
43.646705,-79.399026,"43.6484201,-79.40051919999999"
43.646715,-79.38033,"43.64595,-79.378761"
43.646752,-79.381364,"43.64595,-79.378761"
43.646752,-79.381364,"43.646162,-79.378912"
43.646791,-79.378769,"43.647259,-79.379878"
43.646988,-79.377335,"43.6476616,-79.37549"
43.646991,-79.405897,"43.646552,-79.406468"
43.647163,-79.405083,"43.646552,-79.406468"
43.647265,-79.402902,"43.6484201,-79.40051919999999"
43.647288,-79.384815,"43.646734,-79.38301"
43.647288,-79.384815,"43.6481303,-79.38632"
43.647305,-79.379162,"43.645609,-79.380386"
43.647327,-79.381176,"43.648575,-79.380042"
43.64745,-79.351559,"43.6482995,-79.3552533"
43.647541,-79.389063,"43.6463574,-79.391206"
43.647572,-79.38631,"43.645859,-79.38783"
43.647579,-79.396268,"43.6462574,-79.3973381"
43.647611,-79.40277,"43.645324,-79.40345"
43.647621,-79.401089,"43.6461512,-79.3998214"
43.647638,-79.39623,"43.648437,-79.39838"
43.6477,-79.510493,"43.64839,-79.51008"
43.64785,-79.50846,"43.64839,-79.51008"
43.647928,-79.384497,"43.6458569,-79.3853654"
43.647946,-79.381928,"43.64852,-79.380576"
43.648055,-79.396671,"43.6472019,-79.3953394"
43.648063,-79.395784,"43.648437,-79.39838"
43.648063,-79.395784,"43.6462574,-79.3973381"
43.648081,-79.39013,"43.6461,-79.3895"
43.648172,-79.386546,"43.6503935,-79.3860211"
43.648174,-79.374906,"43.646144,-79.377962"
43.648179,-79.379506,"43.647259,-79.379878"
43.648185,-79.383275,"43.646734,-79.38301"
43.648192,-79.390148,"43.6463574,-79.391206"
43.648238,-79.399552,"43.6461512,-79.3998214"
43.648342,-79.379561,"43.648928,-79.378623"
43.648353,-79.506204,"43.6492,-79.50601999999999"
43.648495,-79.370242,"43.6469928,-79.3706665"
43.648512,-79.449709,"43.6467433,-79.446895"
43.648527,-79.506887,"43.6492,-79.50601999999999"
43.648549,-79.387541,"43.65049,-79.3873"
43.648591,-79.393157,"43.6494896,-79.393535"
43.648608,-79.485161,"43.647663,-79.487583"
43.648722,-79.395982,"43.6472019,-79.3953394"
43.648776,-79.385193,"43.650745,-79.383633"
43.648795,-79.390809,"43.650077,-79.391291"
43.648815,-79.395483,"43.650033,-79.396555"
43.648824,-79.37236,"43.65003919999999,-79.3733541"
43.648912,-79.371704,"43.6478206,-79.3704721"
43.648964,-79.371759,"43.6469251,-79.3733192"
43.64899,-79.396165,"43.649147,-79.395504"
43.649038,-79.373828,"43.650325,-79.372287"
43.649053,-79.393745,"43.649147,-79.395504"
43.649134,-79.372065,"43.650325,-79.372287"
43.64914,-79.371647,"43.6469928,-79.3706665"
43.64914,-79.371647,"43.6469251,-79.3733192"
43.649187,-79.420459,"43.649722,-79.416944"
43.64921,-79.379979,"43.6506,-79.381285"
43.649232,-79.381993,"43.6480008,-79.383177"
43.649239,-79.3819,"43.64852,-79.380576"
43.649243,-79.484936,"43.64976,-79.48477"
43.649256,-79.372367,"43.65003919999999,-79.3733541"
43.649283,-79.392893,"43.650077,-79.391291"
43.649351,-79.483457,"43.6501644,-79.48296909999999"
43.649423,-79.377816,"43.6495789,-79.3762096"
43.649423,-79.386191,"43.6477785,-79.3847928"
43.64943,-79.42486,"43.651145,-79.423742"
43.649446,-79.42999,"43.6475,-79.43305555555555"
43.649458,-79.444438,"43.646677,-79.442741"
43.64947,-79.43121,"43.64957,-79.432446"
43.649471,-79.421954,"43.651111111111106,-79.4213888888889"
43.6495,-79.382176,"43.6480008,-79.383177"
43.649544,-79.383118,"43.6477785,-79.3847928"
43.649605,-79.424034,"43.651111111111106,-79.4213888888889"
43.64961,-79.375228,"43.6476616,-79.37549"
43.649673,-79.376687,"43.648928,-79.378623"
43.649676,-79.43531,"43.6486599,-79.4376413"
43.649679,-79.428345,"43.6493472,-79.42668"
43.649695,-79.429656,"43.65277778,-79.42972222"
43.6497,-79.484823,"43.647663,-79.487583"
43.649754,-79.483329,"43.64976,-79.48477"
43.649774,-79.371421,"43.6478206,-79.3704721"
43.649779,-79.430044,"43.6493472,-79.42668"
43.649797,-79.390451,"43.648711,-79.389728"
43.649838,-79.438468,"43.651238,-79.43868"
43.649856,-79.482697,"43.6501644,-79.48296909999999"
43.649861,-79.358579,"43.6482995,-79.3552533"
43.649903,-79.432962,"43.6475,-79.43305555555555"
43.649903,-79.432962,"43.64957,-79.432446"
43.649963,-79.435216,"43.6486599,-79.4376413"
43.649976,-79.389544,"43.65263,-79.38766"
43.649986,-79.450273,"43.650492,-79.450842"
43.650012,-79.390763,"43.648711,-79.389728"
43.650025,-79.373377,"43.652634,-79.374222"
43.650075,-79.360014,"43.650256,-79.36163"
43.650077,-79.43673,"43.651238,-79.43868"
43.650141,-79.377977,"43.6506,-79.381285"
43.650141,-79.377977,"43.648575,-79.380042"
43.650183,-79.389012,"43.65263,-79.38766"
43.650207,-79.384813,"43.6481303,-79.38632"
43.650208,-79.390984,"43.6494896,-79.393535"
43.650212,-79.3886,"43.65158,-79.38655"
43.650223,-79.372193,"43.6509552,-79.3707"
43.65029,-79.367389,"43.6487245,-79.36839"
43.650311,-79.359352,"43.6513927,-79.35794659999999"
43.650364,-79.358612,"43.6513927,-79.35794659999999"
43.650377,-79.387878,"43.65158,-79.38655"
43.650426,-79.440287,"43.6508333333333,-79.4430555555556"
43.650505,-79.389208,"43.65049,-79.3873"
43.650674,-79.372171,"43.651678,-79.375233"
43.650714,-79.367737,"43.648655,-79.367061"
43.650716,-79.366942,"43.6535052,-79.3667689"
43.650722,-79.35909,"43.65205,-79.362198"
43.65073,-79.358203,"43.650256,-79.36163"
43.650744,-79.358018,"43.650279,-79.356832"
43.650744,-79.365778,"43.649709,-79.364184"
43.65083,-79.412541,"43.651281,-79.411717"
43.650846,-79.381408,"43.650745,-79.383633"
43.650867,-79.419746,"43.649722,-79.416944"
43.651107,-79.451061,"43.650492,-79.450842"
43.651107,-79.451061,"43.6534268,-79.4512787"
43.651111,-79.368454,"43.6509552,-79.3707"
43.651124,-79.365184,"43.653359,-79.365023"
43.651176,-79.357479,"43.650279,-79.356832"
43.651176,-79.357479,"43.652219,-79.354455"
43.651197,-79.368047,"43.6487245,-79.36839"
43.651197,-79.368047,"43.651885,-79.3649"
43.65122,-79.383992,"43.6503935,-79.3860211"
43.651276,-79.367733,"43.651118,-79.369411"
