,free_bikes,empty_slots,slots,altitude,ebikes,has_ebikes,normal_bikes,renting,returning,uid,Updated,lat-long
480,3,12,15,0.0,0,True,3,1,1,7034,1824h,"43.671389,-79.382919"
481,2,21,23,0.0,0,True,2,1,1,7332,1824h,"43.671561,-79.38117"
482,0,15,15,0.0,0,True,0,1,1,7311,1824h,"43.669576,-79.375961"
483,0,11,11,0.0,0,True,0,1,1,7276,1824h,"43.669903,-79.387802"
484,0,14,14,0.0,0,True,0,1,1,7595,1824h,"43.693256,-79.383238"
485,6,1,7,0.0,0,True,6,1,1,7654,1824h,"43.65412449999999,-79.4636388"
486,6,9,15,0.0,0,True,6,1,1,7655,1824h,"43.680207,-79.339243"
487,5,6,11,0.0,0,True,5,1,1,7656,1824h,"43.6589882,-79.438715"
488,8,8,16,0.0,0,True,8,1,1,7327,1824h,"43.6741219,-79.4352208"
489,17,2,19,0.0,0,True,17,1,1,7657,1824h,"43.6469928,-79.3706665"
490,18,7,25,0.0,0,True,18,1,1,7601,1824h,"43.683884,-79.36647"
491,16,1,18,0.0,0,True,16,1,1,7634,1824h,"43.6578449,-79.3899265"
492,15,0,16,0.0,0,True,15,1,1,7284,1824h,"43.6477785,-79.3847928"
493,4,15,19,0.0,0,True,4,1,1,7659,1824h,"43.6856128,-79.31168269999999"
494,3,6,11,0.0,1,True,2,1,1,7133,1824h,"43.681944,-79.390556"
495,18,1,19,0.0,0,True,18,1,1,7571,1824h,"43.671771,-79.324961"
496,10,14,26,0.0,0,True,10,1,1,7046,1824h,"43.64534,-79.409597"
497,15,3,19,0.0,0,True,15,1,1,7662,1824h,"43.6393107,-79.4408141"
498,8,15,23,0.0,0,True,8,1,1,7068,1824h,"43.68306889999999,-79.279682"
499,12,3,15,0.0,0,True,12,1,1,7258,1824h,"43.6626628,-79.3323698"
500,2,13,15,0.0,0,True,2,1,1,7091,1824h,"43.681114,-79.3373885"
501,9,5,15,0.0,0,True,9,1,1,7523,1824h,"43.638925,-79.4168659"
502,10,6,16,0.0,0,True,10,1,1,7487,1824h,"43.676216,-79.309395"
503,18,5,23,0.0,0,True,18,1,1,7406,1824h,"43.652822,-79.378208"
504,25,14,40,0.0,0,True,25,1,1,7472,1824h,"43.656311,-79.379158"
505,15,1,19,0.0,0,True,15,1,1,7660,1824h,"43.656633,-79.379625"
506,1,15,16,0.0,0,True,1,1,1,7504,1824h,"43.686962,-79.286864"
507,6,8,17,0.0,1,True,5,1,1,7663,1824h,"43.718039,-79.371914"
508,1,14,15,0.0,0,True,1,1,1,7127,1824h,"43.672152,-79.39018"
509,13,6,19,0.0,0,True,13,1,1,7566,1824h,"43.673019,-79.467994"
510,6,9,15,0.0,0,True,6,1,1,7664,1824h,"43.72268,-79.37644"
511,13,12,26,0.0,0,True,13,1,1,7666,1824h,"43.6504218,-79.4407647"
512,2,17,19,0.0,1,True,1,1,1,7642,1824h,"43.68850459999999,-79.3940052"
513,10,21,31,0.0,0,True,10,1,1,7416,1824h,"43.641705,-79.393295"
514,15,8,23,0.0,0,True,15,1,1,7636,1824h,"43.647663,-79.487583"
515,1,19,20,0.0,0,True,1,1,1,7668,1824h,"43.6558557,-79.3894093"
516,4,7,11,0.0,0,True,4,1,1,7665,1824h,"43.720998,-79.377456"
517,4,8,12,0.0,0,True,4,1,1,7670,1824h,"43.72814640000001,-79.4032194"
518,12,7,19,0.0,0,True,12,1,1,7039,1824h,"43.652327224103,-79.3882538196087"
519,3,6,11,0.0,0,True,3,1,1,7197,1824h,"43.6438602,-79.4227573"
520,2,10,12,0.0,0,True,2,1,1,7671,1824h,"43.7093201,-79.3996301"
521,7,20,27,0.0,0,True,7,1,1,7658,1824h,"43.64920406876699,-79.49336334201408"
522,18,0,19,0.0,0,True,18,1,1,7646,1824h,"43.6503935,-79.3860211"
523,12,3,16,0.0,0,True,12,1,1,7639,1824h,"43.6399714,-79.39940399999999"
524,3,16,19,0.0,0,True,3,1,1,7519,1824h,"43.68827060022711,-79.43937767081853"
525,0,22,24,0.0,0,True,0,1,1,7292,1824h,"43.6614605,-79.37894570000002"
526,1,19,20,0.0,0,True,1,1,1,7605,1824h,"43.69413548199171,-79.30058718775287"
527,6,16,23,0.0,0,True,6,1,1,7625,1824h,"43.7254665,-79.40115449999999"
528,21,13,35,0.0,1,True,20,1,1,7381,1824h,"43.7083577,-79.39886200000001"
529,20,0,23,0.0,0,True,20,1,1,7016,1824h,"43.640978,-79.376785"
530,9,5,17,0.0,0,True,9,1,1,7135,1824h,"43.63840090000001,-79.4197107"
531,7,11,19,0.0,0,True,7,1,1,7096,1824h,"43.7027268,-79.33368089999999"
532,4,14,19,0.0,0,True,4,1,1,7604,1824h,"43.70567,-79.310554"
533,19,0,19,0.0,0,True,19,1,1,7172,1824h,"43.635,-79.4088888888889"
534,6,9,15,0.0,0,True,6,1,1,7104,1824h,"43.656784782853144,-79.35627385059036"
535,3,12,15,0.0,0,True,3,1,1,7597,1824h,"43.732016,-79.403637"
536,0,14,14,0.0,0,True,0,1,1,7648,1824h,"43.67515255542865,-79.38849615969643"
537,4,15,19,0.0,0,True,4,1,1,7117,1824h,"43.67468857448634,-79.36701962396272"
