free_bikes,empty_slots,slots,altitude,ebikes,normal_bikes,renting,returning,uid,Updated,name,distance,popularity,open_now,rating,my_timestamp,cat1_id,cat1_name
19,0,19,0.0,0,19,1,1,7303,1824h,Leslieville Farmers Market,40,0.8685800698234499,False,8.6,2022-12-05 11:31:42.842959-05:00,17065.0,Farmers' Market
19,0,19,0.0,0,19,1,1,7303,1824h,McDonald's,62,0.9955006814320652,True,7.4,2022-12-05 11:31:42.842978-05:00,16037.0,Playground
19,0,19,0.0,0,19,1,1,7303,1824h,Jonathan Ashbridge Park,63,0.9526233578731852,False,,2022-12-05 11:31:42.842985-05:00,17119.0,Bicycle Store
19,0,19,0.0,0,19,1,1,7303,1824h,Ashdale Medical Centre,73,0.5751473324579472,True,,2022-12-05 11:31:42.842992-05:00,13309.0,Middle Eastern Restaurant
19,0,19,0.0,0,19,1,1,7303,1824h,Chick-N-Joy,129,0.0357829623314311,True,6.9,2022-12-05 11:31:42.842999-05:00,13276.0,Sushi Restaurant
19,0,19,0.0,0,19,1,1,7303,1824h,Rorschach Brewing,194,0.9845106446534032,False,8.3,2022-12-05 11:31:42.843007-05:00,17018.0,Bookstore
19,0,19,0.0,0,19,1,1,7303,1824h,Velotique,186,0.9687848105992246,True,8.0,2022-12-05 11:31:42.843014-05:00,13059.0,Juice Bar
19,0,19,0.0,0,19,1,1,7303,1824h,Energy Plus Snow Removal,51,,False,,2022-12-05 11:31:42.843020-05:00,13026.0,BBQ Joint
19,0,19,0.0,0,19,1,1,7303,1824h,Forest Hill Snow Removal,51,,False,,2022-12-05 11:31:42.843028-05:00,13065.0,Restaurant
19,0,19,0.0,0,19,1,1,7303,1824h,Allman D,51,,False,,2022-12-05 11:31:42.843034-05:00,13236.0,Italian Restaurant
19,0,19,0.0,0,19,1,1,7303,1824h,M.L.S Locksmith Toronto,61,,False,,2022-12-05 11:31:42.843042-05:00,17018.0,Bookstore
19,0,19,0.0,0,19,1,1,7303,1824h,Piper Electric Co Ltd,67,,False,,2022-12-05 11:31:42.843049-05:00,13035.0,Coffee Shop
19,0,19,0.0,0,19,1,1,7303,1824h,Natale and Scott Architects,73,,True,,2022-12-05 11:31:42.843055-05:00,13263.0,Japanese Restaurant
19,0,19,0.0,0,19,1,1,7303,1824h,Canine Clips,137,0.902359186264321,True,,2022-12-05 11:31:42.843063-05:00,16030.0,Other Great Outdoors
19,0,19,0.0,0,19,1,1,7303,1824h,Beaufort Decor,144,0.5637279001313079,True,,2022-12-05 11:31:42.843070-05:00,13035.0,Coffee Shop
19,0,19,0.0,0,19,1,1,7303,1824h,Art Acrylic Blocks,90,,False,,2022-12-05 11:31:42.843077-05:00,13027.0,Bistro
19,0,19,0.0,0,19,1,1,7303,1824h,Energy Plus Snow Removal,92,,False,,2022-12-05 11:31:42.843084-05:00,13034.0,Café
19,0,19,0.0,0,19,1,1,7303,1824h,Mainstay Housing,94,,False,,2022-12-05 11:31:42.843090-05:00,11011.0,Car Wash and Detail
19,0,19,0.0,0,19,1,1,7303,1824h,Itracmedia Inc,95,,False,,2022-12-05 11:31:42.843097-05:00,13064.0,Pizzeria
19,0,19,0.0,0,19,1,1,7303,1824h,Salon INK,156,0.3357997647659172,False,,2022-12-05 11:31:42.843104-05:00,11097.0,Professional Cleaning Service
19,0,19,0.0,0,19,1,1,7303,1824h,Mascotts,98,,False,,2022-12-05 11:31:42.843110-05:00,15000.0,Health and Medicine
19,0,19,0.0,0,19,1,1,7303,1824h,RC Style Inc,99,,True,,2022-12-05 11:31:42.843117-05:00,13064.0,Pizzeria
19,0,19,0.0,0,19,1,1,7303,1824h,Rosedale Snow Removal,99,,False,,2022-12-05 11:31:42.843123-05:00,13006.0,Beer Bar
19,0,19,0.0,0,19,1,1,7303,1824h,Chalet Beauty Bar,108,,True,,2022-12-05 11:31:42.843130-05:00,13305.0,Burrito Restaurant
19,0,19,0.0,0,19,1,1,7303,1824h,Jaclyn's,171,0.9111088984448412,False,,2022-12-05 11:31:42.843136-05:00,17029.0,Convenience Store
19,0,19,0.0,0,19,1,1,7303,1824h,The Ashbridge Estate,173,0.9779576952038384,False,,2022-12-05 11:31:42.843143-05:00,13064.0,Pizzeria
