,free_bikes,empty_slots,slots,altitude,ebikes,has_ebikes,normal_bikes,renting,returning,uid,Updated,lat-long
0,17,2,19,0.0,0,True,17,1,1,7303,0927h,"43.665269,-79.319796"
1,6,8,15,0.0,0,True,6,1,1,7301,0927h,"43.67142,-79.445947"
2,11,11,23,0.0,0,True,11,1,1,7309,0927h,"43.666224,-79.317693"
3,13,11,25,0.0,0,True,13,1,1,7045,0927h,"43.653236,-79.376716"
4,2,10,15,0.0,0,True,2,1,1,7044,0927h,"43.663722,-79.380288"
5,0,25,25,0.0,0,True,0,1,1,7047,0927h,"43.657763,-79.389165"
6,4,17,22,,0,True,4,1,1,7041,0927h,"43.656729,-79.382736"
7,4,13,19,0.0,0,True,4,1,1,7040,0927h,"43.664467,-79.414783"
8,2,13,15,0.0,0,True,2,1,1,7128,0927h,"43.675492,-79.388858"
9,0,11,11,0.0,0,True,0,1,1,7129,0927h,"43.674991,-79.396273"
10,0,14,17,0.0,0,True,0,1,1,7126,0927h,"43.671944,-79.387778"
11,18,0,19,0.0,1,True,17,1,1,7124,0927h,"43.662365,-79.351104"
12,17,1,18,0.0,0,True,17,1,1,7048,0927h,"43.646144,-79.377962"
13,10,0,11,0.0,0,True,10,1,1,7120,0927h,"43.663993,-79.358534"
14,12,15,27,0.0,0,True,12,1,1,7121,0927h,"43.657266,-79.374756"
15,14,0,15,0.0,0,True,14,1,1,7346,0927h,"43.6672144,-79.3452697"
16,1,14,15,0.0,0,True,1,1,1,7347,0927h,"43.673939,-79.441159"
17,10,1,11,0.0,0,True,10,1,1,7342,0927h,"43.657991,-79.340075"
18,20,3,23,0.0,0,True,20,1,1,7343,0927h,"43.66745,-79.329408"
19,7,8,15,0.0,0,True,7,1,1,7340,0927h,"43.672453,-79.338259"
20,14,1,15,0.0,0,True,14,1,1,7341,0927h,"43.6592088,-79.3348396"
21,3,20,23,0.0,0,True,3,1,1,7349,0927h,"43.689211,-79.35438"
22,14,0,14,0.0,0,True,14,1,1,7269,0927h,"43.655431,-79.380653"
23,12,4,16,0.0,0,True,12,1,1,7268,0927h,"43.656927,-79.378497"
24,5,7,12,0.0,0,True,5,1,1,7265,0927h,"43.661324,-79.449534"
25,11,3,16,0.0,9,True,2,1,1,7267,0927h,"43.658295,-79.372346"
26,12,8,20,0.0,0,True,12,1,1,7266,0927h,"43.6940155,-79.2889842"
27,13,3,16,0.0,0,True,13,1,1,7262,0927h,"43.6809164,-79.4229684"
28,2,12,15,0.0,0,True,2,1,1,7379,0927h,"43.6910667,-79.39535"
29,1,13,15,0.0,0,True,1,1,1,7378,0927h,"43.6975969,-79.39654"
30,21,12,35,0.0,0,True,21,1,1,7000,0927h,"43.639832,-79.395954"
31,0,14,15,,0,True,0,1,1,7003,0927h,"43.667158,-79.402761"
32,0,17,19,0.0,0,True,0,1,1,7002,0927h,"43.667333,-79.399429"
33,3,16,19,0.0,0,True,3,1,1,7005,0927h,"43.6480008,-79.383177"
34,0,10,11,,0,True,0,1,1,7004,0927h,"43.656518,-79.389099"
35,3,14,19,0.0,1,True,2,1,1,7007,0927h,"43.658148,-79.398167"
36,0,16,16,0.0,0,True,0,1,1,7279,0927h,"43.687999,-79.38906"
37,24,1,27,0.0,0,True,24,1,1,7175,0927h,"43.63796,-79.387502"
38,15,0,15,0.0,0,True,15,1,1,7174,0927h,"43.6563889,-79.45166666666667"
39,15,4,19,0.0,1,True,14,1,1,7176,0927h,"43.639179,-79.399595"
40,17,10,27,0.0,0,True,17,1,1,7171,0927h,"43.6322445,-79.4108105"
41,2,12,15,0.0,0,True,2,1,1,7170,0927h,"43.6616667,-79.40138888888889"
42,4,15,19,0.0,0,True,4,1,1,7173,0927h,"43.66666667,-79.45833333333334"
43,11,3,15,0.0,0,True,11,1,1,7178,0927h,"43.657192,-79.452559"
44,4,4,11,0.0,0,True,4,1,1,7078,0927h,"43.6576,-79.4032"
45,7,6,17,0.0,0,True,7,1,1,7079,0927h,"43.660694,-79.379052"
46,20,5,27,0.0,0,True,20,1,1,7075,0927h,"43.636533,-79.395854"
47,46,7,56,0.0,0,True,46,1,1,7076,0927h,"43.640132,-79.380464"
48,9,10,19,0.0,0,True,9,1,1,7077,0927h,"43.659777,-79.382767"
49,6,4,11,0.0,0,True,6,1,1,7070,0927h,"43.643667,-79.380414"
50,1,21,23,0.0,0,True,1,1,1,7071,0927h,"43.666233,-79.373327"
51,18,3,23,0.0,0,True,18,1,1,7073,0927h,"43.640114,-79.393249"
52,20,3,23,0.0,0,True,20,1,1,7188,0927h,"43.6366666666667,-79.4197222222222"
53,8,6,15,0.0,0,True,8,1,1,7189,0927h,"43.653766,-79.4016759"
54,14,8,23,0.0,0,True,14,1,1,7180,0927h,"43.6587734,-79.443054"
55,0,14,15,0.0,0,True,0,1,1,7181,0927h,"43.6538888888889,-79.4413888888889"
56,2,16,19,0.0,0,True,2,1,1,7182,0927h,"43.6508333333333,-79.4430555555556"
57,5,10,15,0.0,0,True,5,1,1,7183,0927h,"43.651238,-79.43868"
58,5,6,11,0.0,0,True,5,1,1,7184,0927h,"43.6544915,-79.422634"
59,5,14,19,0.0,0,True,5,1,1,7221,0927h,"43.6543604,-79.4655296"
60,9,10,19,0.0,0,True,9,1,1,7220,0927h,"43.635932,-79.465083"
61,10,0,12,0.0,0,True,10,1,1,7223,0927h,"43.654501,-79.460053"
62,7,19,27,0.0,0,True,7,1,1,7222,0927h,"43.637894,-79.454823"
63,2,16,19,0.0,0,True,2,1,1,7225,0927h,"43.634896,-79.467763"
64,8,10,19,0.0,0,True,8,1,1,7224,0927h,"43.6535269,-79.4650569"
65,16,14,31,0.0,0,True,16,1,1,7227,0927h,"43.6314,-79.4304"
66,10,7,19,0.0,0,True,10,1,1,7226,0927h,"43.636731,-79.444966"
67,11,1,12,0.0,0,True,11,1,1,7229,0927h,"43.6534268,-79.4512787"
68,5,11,16,0.0,0,True,5,1,1,7380,0927h,"43.7112153,-79.39894"
69,7,7,15,0.0,0,True,7,1,1,7386,0927h,"43.655227,-79.39201"
70,4,7,12,0.0,0,True,4,1,1,7387,0927h,"43.685167,-79.34962"
71,0,11,12,0.0,0,True,0,1,1,7384,0927h,"43.6704537,-79.39014"
72,1,20,22,0.0,0,True,1,1,1,7385,0927h,"43.6691099,-79.38551"
73,14,1,15,0.0,0,True,14,1,1,7122,0927h,"43.641389,-79.404444"
74,13,1,15,0.0,0,True,13,1,1,7123,0927h,"43.643834,-79.396649"
75,4,15,19,0.0,0,True,4,1,1,7257,0927h,"43.6545174,-79.3895315"
76,1,17,18,0.0,0,True,1,1,1,7252,0927h,"43.665846,-79.404998"
77,10,2,12,0.0,0,True,10,1,1,7253,0927h,"43.6461,-79.3895"
78,8,3,11,0.0,0,True,8,1,1,7315,0927h,"43.671349,-79.29451"
79,11,4,15,0.0,0,True,11,1,1,7314,0927h,"43.667208,-79.312315"
80,8,11,19,0.0,0,True,8,1,1,7317,0927h,"43.669328,-79.288949"
81,3,12,15,0.0,0,True,3,1,1,7316,0927h,"43.672571,-79.289"
82,16,3,19,0.0,0,True,16,1,1,7259,0927h,"43.638497,-79.39192"
83,10,5,15,0.0,0,True,10,1,1,7313,0927h,"43.662771,-79.315223"
84,1,9,11,0.0,0,True,1,1,1,7312,0927h,"43.66852,-79.363525"
85,13,0,15,0.0,0,True,13,1,1,7032,0927h,"43.652473,-79.401456"
86,17,5,23,0.0,0,True,17,1,1,7035,0927h,"43.643975,-79.419576"
87,9,9,19,0.0,0,True,9,1,1,7036,0927h,"43.651318,-79.36023"
88,6,7,15,0.0,0,True,6,1,1,7038,0927h,"43.656094,-79.381484"
89,4,4,9,0.0,0,True,4,1,1,7132,0927h,"43.670318,-79.405181"
90,7,24,31,0.0,0,True,7,1,1,7137,0927h,"43.676667,-79.416111"
91,20,3,23,0.0,0,True,20,1,1,7136,0927h,"43.640634,-79.435841"
92,13,1,15,0.0,0,True,13,1,1,7148,0927h,"43.639444,-79.423611"
93,2,9,11,0.0,0,True,2,1,1,7149,0927h,"43.67,-79.42083333333333"
94,3,12,15,0.0,0,True,3,1,1,7144,0927h,"43.671389,-79.416389"
95,1,18,19,0.0,0,True,1,1,1,7146,0927h,"43.68,-79.42500000000001"
96,14,0,15,0.0,0,True,14,1,1,7147,0927h,"43.6394444,-79.42527777777778"
97,3,12,15,0.0,0,True,3,1,1,7140,0927h,"43.675791,-79.40698"
98,8,6,15,0.0,0,True,8,1,1,7141,0927h,"43.675556,-79.410278"
99,1,14,15,0.0,0,True,1,1,1,7142,0927h,"43.674444,-79.414722"
100,6,7,15,0.0,0,True,6,1,1,7143,0927h,"43.671513,-79.408317"
